date,close
1-Jan-1984,4.3
1-Jan-1985,3.6
1-Jan-1986,1.9
1-Jan-1987,3.6
1-Jan-1988,4.1
1-Jan-1989,4.8
1-Jan-1990,5.4
1-Jan-1991,4.2
1-Jan-1992,3
1-Jan-1993,3
1-Jan-1994,2.6
1-Jan-1995,2.8
1-Jan-1996,3
1-Jan-1997,2.3
1-Jan-1998,1.6
1-Jan-1999,2.2
1-Jan-2000,3.4
1-Jan-2001,2.8
1-Jan-2002,1.6
1-Jan-2003,2.3
1-Jan-2004,2.7
1-Jan-2005,3.4
1-Jan-2006,3.2
1-Jan-2007,2.8
1-Jan-2008,3.8
1-Jan-2009,-0.4
1-Jan-2010,1.6
1-Jan-2011,3.2
1-Jan-2012,2.1
1-Jan-2013,1.5
1-Jan-2014,1.6
1-Jan-2015,0.1
