date,close
1-Jan-1984,9008
1-Feb-1984,8791
1-Mar-1984,8746
1-Apr-1984,8762
1-May-1984,8456
1-Jun-1984,8226
1-Jul-1984,8537
1-Aug-1984,8519
1-Sep-1984,8367
1-Oct-1984,8381
1-Nov-1984,8198
1-Dec-1984,8358
1-Jan-1985,8423
1-Feb-1985,8321
1-Mar-1985,8339
1-Apr-1985,8395
1-May-1985,8302
1-Jun-1985,8460
1-Jul-1985,8513
1-Aug-1985,8196
1-Sep-1985,8248
1-Oct-1985,8298
1-Nov-1985,8128
1-Dec-1985,8138
1-Jan-1986,7795
1-Feb-1986,8402
1-Mar-1986,8383
1-Apr-1986,8364
1-May-1986,8439
1-Jun-1986,8508
1-Jul-1986,8319
1-Aug-1986,8135
1-Sep-1986,8310
1-Oct-1986,8243
1-Nov-1986,8159
1-Dec-1986,7883
1-Jan-1987,7892
1-Feb-1987,7865
1-Mar-1987,7862
1-Apr-1987,7542
1-May-1987,7574
1-Jun-1987,7398
1-Jul-1987,7268
1-Aug-1987,7261
1-Sep-1987,7102
1-Oct-1987,7227
1-Nov-1987,7035
1-Dec-1987,6936
1-Jan-1988,6953
1-Feb-1988,6929
1-Mar-1988,6876
1-Apr-1988,6601
1-May-1988,6779
1-Jun-1988,6546
1-Jul-1988,6605
1-Aug-1988,6843
1-Sep-1988,6604
1-Oct-1988,6568
1-Nov-1988,6537
1-Dec-1988,6518
1-Jan-1989,6682
1-Feb-1989,6359
1-Mar-1989,6205
1-Apr-1989,6468
1-May-1989,6375
1-Jun-1989,6577
1-Jul-1989,6495
1-Aug-1989,6511
1-Sep-1989,6590
1-Oct-1989,6630
1-Nov-1989,6725
1-Dec-1989,6667
1-Jan-1990,6752
1-Feb-1990,6651
1-Mar-1990,6598
1-Apr-1990,6797
1-May-1990,6742
1-Jun-1990,6590
1-Jul-1990,6922
1-Aug-1990,7188
1-Sep-1990,7368
1-Oct-1990,7459
1-Nov-1990,7764
1-Dec-1990,7901
1-Jan-1991,8015
1-Feb-1991,8265
1-Mar-1991,8586
1-Apr-1991,8439
1-May-1991,8736
1-Jun-1991,8692
1-Jul-1991,8586
1-Aug-1991,8666
1-Sep-1991,8722
1-Oct-1991,8842
1-Nov-1991,8931
1-Dec-1991,9198
1-Jan-1992,9283
1-Feb-1992,9454
1-Mar-1992,9460
1-Apr-1992,9415
1-May-1992,9744
1-Jun-1992,10040
1-Jul-1992,9850
